,comment,taste,service,mood,cospa,negaposi
13,"京都旅行の際に利用させて頂きました。
それまで京料理を頂いていたので、最終日のランチは洋食をと思い予約しました。
流石にリッツは予想以上のお料理、接客でした。
また京都に行く折は利用させて頂きます。
おススメの生ハムはディナーならお酒も進み、きっとお願いしたと思い、食せなかったのがちょっと残念でした。",5,5,5,5,0.2
14,"料理の量は若い男性にはかなり？物足りないない量ですが、ガッツリ系の料理・店舗ではないので致し方ないか・・・
自分たちには適量ですが、パン好きとしてはパンはおかわりしたい派です。
パンのお代わりはゲスト側はちょっと気が引けたりしますが
そこはリッツ、快くパンを惜しげもなく持ってきてくれるので、ありがたいです。
パンひとつで又利用したいと思うのが人間、こう言うところをケチったりすると2度と利用しないと思います。
接客・サービスは、いつも責任者の方が担当して下さるので、問題なくとてもスマートにアットホームに対応していただけて嬉しいです。
ただ、駐車場のサービスが2時間と言うのがとても残念。
食事だけで2時間は余裕でかかるので、せめて2時間半、3時間あると慌てずに食事できて助かります。
リッツ京都は何でこんなに短時間なのか？
せめてMarriott Bonvoy ゴールドエリート以上はプラス1時間という特典をつけていただけたら嬉しいです（笑）",4,4,4,4,0.3589743589743589
15,いつも利用させて頂いてるのですが、毎回とても気持ちがよく、お料理も美味しいです。サーバーの高木様がとても気を遣ってくださり嬉しかったです,4,5,4,3,0.5
16,7月にも利用させてもらいました。今回は東京から来ている友人夫婦と食事しました。友人夫婦も非常に喜んでいただけて、最高なもてなしでした。苦手な食材も変更していただき助かりました。また利用させていいただきます。ありがとうございました。,5,5,5,5,0.25
17,大変有意義な時間を過ごせる、素晴らしい空間でした。,3,3,5,3,0.5
18,お誕生日のサプライズプレートが、少し映えなくて残念の感じでしたが、お料理などは好みです。サプライズは、他の店を選んだ方がよいな。って感じでした。,4,3,3,3,0.16666666666666666
19,"主人のお誕生日でお世話になりました。
お食事も美味しく、何よりも接客が大変気持ち良く、いい気分で過ごすことができました。
このような素晴らしいサービスに値打ちを感じました。ありがとうございました。",5,5,5,5,0.65
20,"全てのスタッフの動きに無駄がなく、テキパキと働いており、どのように動いたら良いかをスタッフ同士でも確認しており、好感が持てました。
料理のサーブや空いたお皿、必要のないものも、気遣いを持って下げられ、プロとして日頃の訓練が表れているのだろうと思いました。
料理に関しても、美しさと美味しさが上手く調和しており、素晴らしかったです。
京都の中では、ベストのイタリアンだと思います。",4.5,5,5,5,0.8333333333333333
21,"お料理に関しては、ランチにしては良かったかな？（お肉が美味しかったです。）ただ、残念なことは、テーブル席の配置です！
人が通る場所側で、美味しい料理も半減・・・！ホコリが気になるし人のいききで落ち着いて頂けないし・・・。リッツさんにしてはいかなものか・・・テーブル席の間に何か置くか席を少なくするとか・・考えていただきたかったですね。",3.5,3.5,2.5,2.5,0.25925925925925924
22,"とっても素敵な時間を過ごせました。
ありがとうございました。",5,5,5,5,0.5
23,"ランチで伺ったことがあって夜も来たいなと前々から思っていました。今回、結婚記念日で宿泊するのでディナーを予約させて頂きました。主人がお腹の調子が今一つで美味しかったのにアレコレ完食出来ず残念がりましたが、私がお肉やデザートを頂けて良かったです。
すごく食いしん坊さんになって頂きました。雰囲気も良く素敵なレストランですがリラックス出来る落ち着き感もあります。
何事も致せりつくせりな丁寧な接客のおかげかもしれないです。ご馳走様でした！",5,5,5,5,0.2571428571428572
24,6人でお伺いいたしました。とても楽しく過ごしてさせていただきました。ありがとうございます。,5,5,5,5,0.3333333333333333
25,"期待通り
雰囲気よし
味は一定以上",3,3,3,3,1.0
26,娘との旅行の最終日のランチでお邪魔しました。どのお料理も美味しくて、スタッフの方も親切で楽しい時間を過ごすことが出来ました。ご馳走様でした。また京都に出掛けたら伺いたいと思います。,5,5,5,5,0.25
27,いろいろ考えられたお料理美味し家いただきました。お肉が固かった以外は良かったので、また伺いたく思います。,4,4,4,4,1.0
28,地域共通クーポンもGO TO　eatも併用でき、お得なプランでしたが期待以上の内容でした。京都のリッツは初めてでしたが大阪とは全く違う、モダンでありながら、和の融合が素敵でした。また京都に出かけるときは利用したいです。電子クーポンの利用方法も丁寧に教えていただきありがとうございました。,3.5,3,3,4,0.75
29,"お気に入りのレストランです。
記念日にまた是非利用したいです。
お肉のメインはカツレツでした。とても美味しい揚げ物でした。
個人的にはローストされたほうがお店の雰囲気にあっていると思います・・・
お願いしたパンの補充が、1回忘れられました。が、その後のフォローが完璧でした!!",4,4.5,5,5,0.5714285714285714
30,"初めて伺いました。接客、お料理、雰囲気と期待通りでした。
窓からの紅葉も最高でした。
有難うございました。",3,4,4,3,0.5
31,初めて本格的やイタリアンを食べさせてもらったが、本当に美味しいものを食べると自然と笑顔になるんだっていうのを教えてくれた。パスタを冷まさないよう皿の温度を45度以上で提供する味への追求、空いた皿や飲み物がなくなるとこちらから呼ばずとも注文を取ってくれるサービス精神には感服致しました。今度は彼女と来たいと思います。,5,5,5,4,0.5
32,"ランチ利用で接待と伝えていたにもかかわらず、待たされた上に入口近くの落ち着かないお席に案内されました。
先方は初めてのお客様なので失礼な気がしました。もう少し配慮して欲しかったです。
このお席だとお庭がよく見えるからと言うしかなかったです。
女性二人服装にも気を配って行ったつもりですが、お席はカジュアルな一人用や家族間なら混雑時仕方ないかと思いますが
バーコーナーで食べているようなレストラン内にいる気がしないはずれた席でした。
先月もディナーで利用し、これまで何回も利用させていただいていていつもご配慮いただいているので
今回のサービスにはとてもがっかりしました。
サービス料もしっかり取っておられますので、スタッフの方のクオリティの高さを求めます。",4,1.5,1.5,2.5,-0.03703703703703703
33,ホテル全体としては、景観等高級感が高い。レストランに限ると好みが出てしまうかと。テーブル位置等、配膳スタッフの導線が気になりました。,4,3,3,4,0.3333333333333333
34,家族で利用しました。店の雰囲気、接客共に良かったです。料理は普通に美味しいです。,4,4.5,4.5,3.5,0.6666666666666666
35,"家族の誕生日のお祝いで利用させていただきました。
工夫の凝らされた美しく美味しいお料理とホスピタリティの高さに、誕生日の主役も大喜び。
アミューズからデザートまでどれも大変美味しくいただきましたが、特にアナゴとナスのパスタは皆が大絶賛の一品でした。
メッセージプレートや苦手な食材への対応についても、事前に丁寧にメールでご確認くださり、安心して当日を迎えることができました。
家族全員の思い出に残るお祝いとなり、とても感謝しております。
また記念日に是非伺いたいと思います。ごちそうさまでした。",5,5,5,5,0.5238095238095238
36,"ランチで訪れました
とても満足しました
お料理も、ワインも美味しくいただく事ができました
注文したグラスワインが残り少なく、
準備出来ないからとサービスしていただきました
流石～と思ってお礼をゆいました
と思い帰ってからレシートを見たら
しっかり入ってました
あら、聞き間違いだったかなぁ
と思う事にします
楽しめたので
次回は、宿泊とディナーを楽しみたいなぁと思います
ありがとうございました",3,3,3,3,0.38461538461538464
37,フジタホテルからあった和室も存在しており、珍しいお食事ができよかったです。こちらの一休.comからだと、マリオットカードが使えなかった為、残念です。,4,4,5,4,0.0
38,雰囲気、接客、お料理、全て満足でした。,5,5,5,5,1.0
39,とても良い食事でした。,2,2,2,2,1.0
40,"京都旅行の思い出にランチで伺った。
席に着いてから帰るまで、こちらから声をかけたのは会計の時に一度だけ。
それだけ気配りが素晴らしい。
これがリッツ・カールトンなんですね。
一気に惚れました。
必ずまた行きます。",5,5,5,5,0.5
41,久しぶりの家族での外食でした。とても楽しみにしていて、どのお料理も美味しく頂きました。特に私はパスタが美味しかったです。お土産のマカロンも嬉しかったです。また利用させていただきます,5,5,4.5,4.5,0.6
42,一休のプランがかなりお得かつ、go toでポイントまで貰えてかなり最高でした。味もサービスもとても良かった。奈良のマリオットでシルクロードでのディナーがかなりひどかったのもあって、正直そこまで期待していなかったので驚きました。出てくるペースもちょうどでした。キッズメニューも充実していてとてもリーズナブル。飲み物やオプションの分はマリオットの割り引きまでしていただけました。来年また宿泊予定があるので、その際も利用したいです。,5,5,5,5,0.5714285714285714
43,"二週間くらい前に彼女の誕生日のお祝いに利用させていただきました！
印象としては、さすがだなと感じました！
まず、一人一人に対する接客が群を抜いています！
料理に関しても、とても美味しかったです！
前菜から衝撃が走りました！
特別な日には絶対利用したいなと思える最高なひとときでした！
ありがとうございました！",5,5,5,5,0.42857142857142855
44,"初めて利用しました。
コスパは本当に期待以上でした。
ゲスト2人も大変喜んでいました。
当日追加した生ハム、美味でした。
今後も利用させて頂きます。",4,4,4,4,0.2
45,"素敵なレストランでした。
特にフォカッチャは忘れられないお味でした。",5,5,5,4.5,1.0
46,リッツ・カールトン京都さんは、前回はラウンジ、今回はイタリアンと2回目の利用でしたが、もう粗探しをしても何も見つからないほどのサービスと料理です。涙が出るくらいのおもてなしをして頂き、感謝の言葉しかないです。リッツ・カールトンさんのあるこの世の中に生まれて来れた私は幸せです。,5,5,5,5,0.3333333333333333
47,この時期にレストランを選ぶ基準は、私は安心、安全、清潔感溢れ美味しいことです。ウエルカムスナックの後にフォカッチャが運ばれてきたのですが、髪の毛がのっていました。主人が指摘すると直ぐに取り替えて頂きましたが有り得ないと思ってしまいました。お料理は以前と同じく美味しかったのですが一つ一つ確認しながら頂いてしまいます。最初からテンションも下がってしまいました。食後の飲み物も娘と私はカフェラテをお願いしたのですが明らかにカフェオレが届きました。以前もカフェラテをお願いしたので見た目の違いは歴然ですし、お味も全く違います。もう一つ主人が気になったのは私達のテーブル近くで外国人スタッフと日本人スタッフの方がかなり長く雑談されていた様です。以前お友達と伺った時はとてもリラックス出来、気持ち良くランチタイムを過ごせましたのに非常に残念でした。潔癖症の私としては髪の毛の件は初めての出来事ですし、一番あってはならない事です。お会計の後のスタッフの言葉はお食事は楽しんで頂けましたか？では無く本当に申し訳ございませんでした。では無いかと思いました。厳しめの評価になってしまいましたが、お友達にもお勧めしたいた私にとっては後味の悪いランチタイムでしたので残念でした。,3,1,3,2.5,0.16666666666666669
48,"料理も接客もとても良かったです。
結婚式後の食事会に使いましたがピエール・エルメからのサービスの焼き菓子まで出してくださりとても美味しかったです。
強いて言えば個室料金が少し高かったです。",4,5,5,4,0.25
49,接客、店内の雰囲気はさすがのリッツカールトンです。デザートがいまいちなので、ピールエルメのシンプルなバニラアイスクリームなどでしたら完璧です。是非取り入れてほしいです。,3.5,5,5,3.5,0.3333333333333333
50,"マカロンのお土産付きを頼みました。セコい話ですが、1540円のマカロンがいただけると詳細にありましたが、箱はなく972円のお土産でした。普段箱入りは買わないのでとても楽しみにしていましたが、価格表示が違い非常に残念でした。それなら、ワンドリンクにすればよかった・・・
お料理は美味しくいただけました。",3.5,3,5,1,0.5
51,"以前カフェを利用させて頂いたのですが、ラ・ロカンダさんは予想以上に良かったです。
お食事の後の、コーヒー、紅茶、エスプレッソ以外にもカプチーノ等々の注文も出来たみたいですのでもう少し説明が欲しかったです。
又利用させて頂きます
ありがとうございました",3,3,4,3,0.5
52,"いつきても、お料理は全て美味しく雰囲気も良いです。
デザートにプレートをつけていただきありがとうございました。
また行きたいです。",5,5,5,5,0.3333333333333333
53,"高級感のある重厚な雰囲気が好きで、何回も利用しています。
久しぶりでしたが、料理もありきたりではなく、美味しくいただけました。1ドリンク付きで選んだブドウジュースも最高の味、と連れが言ってました。
担当の男性も大変感じが良かったです。今までで一番でした。",5,5,5,4.5,0.8
54,"1年ぶりに利用させてもらいました。
相変わらず接客も素晴らしく、料理も非常に美味しく、お店の雰囲気も良かったです。
また行きたいです。",5,5,5,4,0.19999999999999998
55,"お料理の一つ一つがとても丁寧に作られていて、どれも美味しくいただきました。
運ばれてくるタイミングもちょうどよかったです。
スタッフの方もとても話しやすく、楽しい時間を過ごすことができました。",5,4.5,4,4,0.6666666666666666
56,普段あまり利用しないラグジュアリーなホテルランチを楽しもうとやって来ましたが、一流ホテルらしい趣きにはじめは少し緊張しました。でも、給仕のスタッフの方が、とても物腰柔柔らかで、親しみやすい方で、すぐに和やかに食事を楽しむことができました。悩みを抱えた教え子とのランチでしたが、楽しくお喋りしながら美味しい料理を堪能できて、よかったです。社会人1年目の彼女は、リッツカールトンのような場所でホテルランチを利用するのは初めてだといってましたから、初めてをプレゼントできて私も嬉しかったです。また、大人女子の楽しみを教えに利用したいと思います。,5,5,5,5,0.72
57,別途ワイン等を頼んだが、メニューを持ってくるわけではなく、軽いものだということで、依頼した。コストパフォーマンスが最悪だ。昔の車の営業担当のように、少し高飛車なのではないか。気分が悪かった。,3,1.5,1.5,1,-0.5
58,"全てにおいて、流石のリッツカールトンだと実感いたしました。
サービス、料理のでるタイミング、味も大変美味しく心身ともに満足いたしました。
料理の素材の味を目一杯引き出した一品一品の美味しさに感動しました。
直前の誕生日メッセージプレートの依頼にもさりげなくご用意くださったことに感謝いたします。
また是非、伺いたいと思います。",5,5,5,3,0.72
59,また来ます。,5,5,5,5,0.0
60,"友人と二人でランチに伺いました。初リッツ・カールトン京都。エントランスからわくわく。お料理もお店の雰囲気も対応も全て満足で、幸せなひとときでした。ごちそうさまでした。こんなご時世ですがたまの贅沢、必要ですね！
個人的にすごく興味を持ったのは、消毒アルコールのボトルを手拭いでくるんであったことです。お着物のように形作ってありました。真似させていただきますね。",5,5,5,5,0.3333333333333333
61,主人の誕生日の利用でした。アミューズから美味しくて、とても幸せな気持ちになりました。主人も喜んでいました。また利用したいです。,5,4,5,5,0.75
62,サービスと雰囲気はとても良いです。お料理は、初回にいただいた時に感心しましたが、それ以来何度か利用させていただきましたが、月が変わっても前菜がずっと同じものだったり、あまり変化がありません。お味は良いです。もうちょっと工夫を施されてはと存じます。,1,5,5,3,0.75
63,美味しかったです。全体として適量で女性向きでした。デザートが素敵でした。一休の割引適用のプランだったので、コスパは悪く感じませんでした。接客もスムーズで丁寧な印象でした。,4.5,4.5,3.5,3.5,0.4
64,"コロナ感染者が減少しないこともあって久しぶりのランチでした。
2年生の孫もいたのでご迷惑かけるかと心配してましたが
落ち着いたゆったりした席で気持ち良くお料理をいただけました。
お料理の質の高さに改めて感心しました。安いコースにもかかわらず一品づつ丁寧に作られていて大満足です。
また是非伺いたいと思います。",4,3,4,4,0.5
65,"雰囲気、お料理は完璧
最後の最後でお会計を待たされすぎて残念でした。",5,1,5,1,0.0
66,厳しいコロナ禍に安心して頂ける環境の提供を深謝します。非常に美味しかったです。またお伺える日を楽しみにして居ます。,5,5,5,5,0.5
67,"友人の誕生日で利用しました。
3歳の子供も一緒だったのですが、子供用メニューも豊富でよかったです。
写真もスタッフさんからお声をかけていただき、気遣いにとても感謝いたします。",5,5,5,5,1.0
68,"今迄に大阪、東京のリッツを利用させて頂きましたが、京都は食事だけの利用でした。
一番上品で落ち着きました。
料理もランチでしたが、私たち母娘には丁度よい量で美味しく頂きました。
好みですが私たちには少し薄味だったので4.5にさせて頂きました。
サービスもさすがリッツと思え大満足でした。
今迄京都のリッツは敷居が高いと思っていたのですが、 次回は宿泊で利用させて頂きたいと思っています。",4.5,5,5,5,0.5
69,"当日に予約させて頂きました。
コースの説明も分かりやすく，料理に合うワインもセレクトして頂き美味しくゆったり食事することが出来ました。又リピートしたいです。",5,5,5,5,0.3333333333333333
